,Unnamed: 0,singkatan,kata asal
683,,lelaahh,lelah 
684,,lemes,lemas 
685,,lg,lagi 
686,,lgi,lagi 
687,,lgkp,lengkap 
688,,lgs,langsung 
689,,lgsg,langsung 
690,,lgsng,langsung 
691,,lgsung,langsung 
692,,liatin,lihat 
693,,lm,lama 
694,,lmyn,lumayan 
695,,lngkp,lengkap 
696,,lngsg,langsung 
697,,lngsng,langsung 
698,,lngsung,langsung 
699,,lnjt,lanjut 
700,,lnsg,langsung 
701,,lnsng,langsung 
702,,lo,kamu 
704,,loe,kamu 
706,,lom,belum
707,,lov,cinta
708,,love,cinta
709,,low,kalau
710,,lp,lupa
711,,lpngn,lapangan 
712,,lpr,lapar 
713,,lsg,langsung 
714,,lu,kamu 
716,,luchu,lucu
717,,lum,belum
718,,lun,belum
719,,luthu,lucu
720,,luv,cinta
721,,lvl,level 
722,,lw,kamu
723,,lwt,lewat 
724,,maaci,terima kasih
725,,maacih,terima kasih
726,,maap,maaf
727,,maen,main 
728,,mager,malas bergerak
729,,makaci,terima kasih
730,,makana,karena itu
731,,makasi,terima kasih
732,,makasihhh,terima kasih
733,,make,pakai 
734,,makn,makan 
735,,malem,malam 
736,,malem2,malam-malam 
737,,malming,malam minggu
738,,mamah,mama 
739,,mamam,makan 
740,,mampet,mampat 
741,,mane,mana 
742,,maneh,mana 
743,,manggil,panggil 
744,,mano,mana 
745,,mantep,mantap 
746,,masakin,masakan 
747,,mateng,matang 
748,,maw,mau
749,,mcm,macam 
750,,mct,macet 
751,,mdg,lebih baik
752,,mdgn,baikan 
753,,mdh,mudah 
754,,mdpt,mendapat 
755,,melulu,selalu 
756,,mendingan,lebih baik
757,,menyempurnakan, 
758,,merhatiin,memperhatikan 
759,,mesen,pesan 
760,,mgkn,mungkin 
761,,mhs,mahasiswa 
762,,mhsw,mahasiswa 
763,,miapa,demi apa
764,,miapah,demi apa
765,,mikirin,memikirkan 
766,,milih,pilih 
767,,minjem,pinjam 
768,,misal'a,misalnya
769,,mk,maka 
